,index,Date,ListingId
0,0,01-05-2020,0
1,0,2020-01-06,2
2,1,2020-01-07,4
3,2,2020-01-08,2
4,3,2020-01-09,6
5,4,2020-01-10,6
6,5,2020-01-11,7
7,6,2020-01-12,14
8,7,2020-01-13,26
9,8,2020-01-14,29
10,9,2020-01-15,21
11,10,2020-01-16,19
12,11,2020-01-17,15
13,12,2020-01-18,17
14,13,2020-01-19,13
15,14,2020-01-20,22
16,15,2020-01-21,41
17,16,2020-01-22,20
18,17,2020-01-23,13
19,18,2020-01-24,19
20,19,2020-01-25,14
21,20,2020-01-26,19
22,21,2020-01-27,35
23,22,2020-01-28,43
24,23,2020-01-29,25
25,24,2020-01-30,22
26,25,2020-01-31,23
27,26,2020-02-01,15
28,27,2020-02-02,14
29,28,2020-02-03,39
30,29,2020-02-04,52
31,30,2020-02-05,34
32,31,2020-02-06,23
33,32,2020-02-07,39
34,33,2020-02-08,19
35,34,2020-02-09,21
36,35,2020-02-10,66
37,36,2020-02-11,66
38,37,2020-02-12,41
39,38,2020-02-13,35
40,39,2020-02-14,37
41,40,2020-02-15,23
42,41,2020-02-16,36
43,42,2020-02-17,67
44,43,2020-02-18,66
45,44,2020-02-19,47
46,45,2020-02-20,31
47,46,2020-02-21,33
48,47,2020-02-22,33
49,48,2020-02-23,38
50,49,2020-02-24,61
51,50,2020-02-25,79
52,51,2020-02-26,67
53,52,2020-02-27,56
54,53,2020-02-28,35
55,54,2020-02-29,49
56,55,2020-03-01,39
57,56,2020-03-02,68
58,57,2020-03-03,81
59,58,2020-03-04,53
60,59,2020-03-05,52
61,60,2020-03-06,47
62,61,2020-03-07,43
63,62,2020-03-08,39
64,63,2020-03-09,79
65,64,2020-03-10,89
66,65,2020-03-11,52
67,66,2020-03-12,35
68,67,2020-03-13,54
69,68,2020-03-14,41
70,69,2020-03-15,37
71,70,2020-03-16,81
72,71,2020-03-17,67
73,72,2020-03-18,64
74,73,2020-03-19,43
75,74,2020-03-20,55
76,75,2020-03-21,41
77,76,2020-03-22,49
78,77,2020-03-23,61
79,78,2020-03-24,46
80,79,2020-03-25,50
81,80,2020-03-26,44
82,81,2020-03-27,54
83,82,2020-03-28,42
84,83,2020-03-29,43
85,84,2020-03-30,34
86,85,2020-03-31,39
87,86,2020-04-01,34
88,87,2020-04-02,27
89,88,2020-04-03,47
90,89,2020-04-04,41
91,90,2020-04-05,42
92,91,2020-04-06,42
93,92,2020-04-07,42
94,93,2020-04-08,34
95,94,2020-04-09,39
96,95,2020-04-10,37
97,96,2020-04-11,25
98,97,2020-04-12,23
99,98,2020-04-13,45
100,99,2020-04-14,39
101,100,2020-04-15,29
102,101,2020-04-16,47
103,102,2020-04-17,46
104,103,2020-04-18,25
105,104,2020-04-19,37
106,105,2020-04-20,41
107,106,2020-04-21,53
108,107,2020-04-22,43
109,108,2020-04-23,41
110,109,2020-04-24,59
111,110,2020-04-25,39
112,111,2020-04-26,39
113,112,2020-04-27,51
114,113,2020-04-28,48
115,114,2020-04-29,37
116,115,2020-04-30,47
117,116,2020-05-01,40
118,117,2020-05-02,40
119,118,2020-05-03,29
120,119,2020-05-04,54
121,120,2020-05-05,39
122,121,2020-05-06,49
123,122,2020-05-07,39
124,123,2020-05-08,45
125,124,2020-05-09,41
126,125,2020-05-10,30
127,126,2020-05-11,56
128,127,2020-05-12,48
129,128,2020-05-13,53
130,129,2020-05-14,49
131,130,2020-05-15,55
132,131,2020-05-16,34
133,132,2020-05-17,42
134,133,2020-05-18,57
135,134,2020-05-19,60
136,135,2020-05-20,50
137,136,2020-05-21,52
138,137,2020-05-22,73
139,138,2020-05-23,42
140,139,2020-05-24,42
141,140,2020-05-25,43
142,141,2020-05-26,56
143,142,2020-05-27,52
144,143,2020-05-28,50
145,144,2020-05-29,45
146,145,2020-05-30,50
147,146,2020-05-31,36
148,147,2020-06-01,74
149,148,2020-06-02,62
150,149,2020-06-03,51
151,150,2020-06-04,53
152,151,2020-06-05,58
153,152,2020-06-06,43
154,153,2020-06-07,59
155,154,2020-06-08,61
156,155,2020-06-09,74
157,156,2020-06-10,51
158,157,2020-06-11,62
159,158,2020-06-12,67
160,159,2020-06-13,45
161,160,2020-06-14,44
162,161,2020-06-15,72
163,162,2020-06-16,88
164,163,2020-06-17,58
165,164,2020-06-18,62
166,165,2020-06-19,73
167,166,2020-06-20,52
168,167,2020-06-21,51
169,168,2020-06-22,81
170,169,2020-06-23,79
171,170,2020-06-24,51
172,171,2020-06-25,48
173,172,2020-06-26,86
174,173,2020-06-27,51
175,174,2020-06-28,41
176,175,2020-06-29,77
177,176,2020-06-30,61
178,177,2020-07-01,55
179,178,2020-07-02,60
180,179,2020-07-03,57
181,180,2020-07-04,36
182,181,2020-07-05,33
183,182,2020-07-06,73
184,183,2020-07-07,77
185,184,2020-07-08,52
186,185,2020-07-09,55
187,186,2020-07-10,80
188,187,2020-07-11,51
189,188,2020-07-12,42
190,189,2020-07-13,100
191,190,2020-07-14,72
192,191,2020-07-15,44
193,192,2020-07-16,71
194,193,2020-07-17,62
195,194,2020-07-18,46
196,195,2020-07-19,53
197,196,2020-07-20,84
198,197,2020-07-21,76
199,198,2020-07-22,63
200,199,2020-07-23,58
201,200,2020-07-24,56
202,201,2020-07-25,65
203,202,2020-07-26,46
204,203,2020-07-27,87
205,204,2020-07-28,88
206,205,2020-07-29,59
207,206,2020-07-30,55
